kingdom,phylum,class,order,family,genus,species,reads,sample
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella sp900546575,7072,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella sp000436035,6146,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella corporis,4521,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella pectinovora,3753,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella sp900553155,2989,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella sp900765465,2832,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella sp002299275,2796,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella sp900313215,2398,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella sp002265625,2238,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella sp900762125,2433,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella sp900556395,1508,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella lascolaii,985,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella sp000434975,786,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella sp900548195,785,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella sp900543975,656,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella sp002251295,643,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella sp900550035,629,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella sp002480935,1080,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella melaninogenica,511,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella bergensis,2319,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella sp003447235,426,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella sp900548745,3427,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella sp900552965,388,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella sp900552515,371,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella rara,370,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella oris,362,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella sp900543585,1665,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella disiens,266,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella sp900556275,244,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella sp000435635,220,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella stercorea,212,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella sp900771975,201,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella sp000431975,174,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella sp900544495,154,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella sp900315955,130,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella sp002299635,130,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,MGYG000002613,121,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella sp900769275,120,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella sp900546345,111,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella sp000436595,479,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella sp000433175,65,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella nigrescens,64,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella sp900557405,40,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella sp900554695,35,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella sp002251365,28,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella sp900554045,24,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella sp900316565,55,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,MGYG000004348,18,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,MGYG000004009,18,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella sp900556825,88,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella bivia,17,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella sp900554545,247,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola plebeius_A,854818,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola massiliensis,245123,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola dorei,1620538,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola plebeius,62086,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola sartorii,17998,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola sp900546645,4272,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola coprocola,2586,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola sp900066455,2426,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola sp000434735,2360,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola sp002493165,1305,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola sp900551645,1079,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola sp000436795,961,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola mediterraneensis,815,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,MGYG000004599,671,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola sp900544075,443,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola sp900552075,432,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola sp900546355,367,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola barnesiae,329,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola coprophilus,257,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola sp002161565,231,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola sp902388365,227,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola ilei,207,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola sp900551445,143,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,MGYG000002614,82,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola sp900553185,74,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola sp900544675,59,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola sp900551065,44,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola sp900541515,31,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola sp900066445,25,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides stercoris,59890,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides caccae,29209,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides finegoldii,42447,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,MGYG000004003,35040,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides uniformis,45701,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides faecis,9804,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides cellulosilyticus,6139,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides ovatus,6058,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides xylanisolvens,4957,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides acidifaciens,4828,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides clarus,4523,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides eggerthii,3138,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides congonensis,3134,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp900766005,3063,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides cutis,2853,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron,2761,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp900765785,1950,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,MGYG000001977,1774,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides nordii,1559,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides stercorirosoris,1512,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides oleiciplenus,1461,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp902362375,985,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp002491635,729,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp900761785,580,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,MGYG000002717,570,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,MGYG000004748,423,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides fragilis,262,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,MGYG000001780,397,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides salyersiae,133,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides massiliensis_A,118,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp014385165,333,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides fluxus,91,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides intestinalis,88,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides gallinarum,234,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides bouchesdurhonensis,246,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,MGYG000004188,73,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp003545565,105,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides togonis,34,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides sp900556215,30,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides fragilis_A,24,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,MGYG000002585,28,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,MGYG000004876,23,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,MGYG000001807,22,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Paraprevotella,Paraprevotella clara,56986,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Paraprevotella,Paraprevotella xylaniphila,9336,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Paraprevotella,Paraprevotella sp900546665,665,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Paraprevotella,Paraprevotella sp900760455,363,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Paraprevotella,Paraprevotella sp003477995,8022,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Paraprevotella,MGYG000004759,10056,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotellamassilia,Prevotellamassilia timonensis,8678,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotellamassilia,Prevotellamassilia sp900541335,32,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotellamassilia,Prevotellamassilia sp000437675,18,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotellamassilia,Prevotellamassilia sp900772575,14,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotellamassilia,Prevotellamassilia sp900543155,13,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,MGYG000002575,MGYG000002575,630,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,MGYG000004094,MGYG000004094,501,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,OM05-12,OM05-12 sp900760755,278,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,43-108,43-108 sp001915545,271,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,UBA6382,UBA6382 sp900557555,60,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,CAG-462,MGYG000002209,60,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes putredinis,120917,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes shahii,15277,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes sp000434235,9424,BBL6137-PFH7-LFH6-R395-EXP_S508_L003
