,metabolite,flux,name,hmdb,kegg.compound,pubchem.compound,inchi,chebi,reaction,global_id
42,metsox_S_L,0.11055843568925178,L-Methionine Sulfoxide,,,,,,EX_metsox_S_L_m,EX_metsox_S_L(e)
43,mg2,0.1946661217497765,magnesium,,,,,,EX_mg2_m,EX_mg2(e)
44,mn2,0.20177453297088083,Mn2+,,,,,,EX_mn2_m,EX_mn2(e)
45,na1,1.1506251821452798,Sodium,HMDB00588,C01330,923.0,InChI=1S/Na/q+1,,EX_na1_m,EX_na1(e)
46,nac,0.03190079934317617,Nicotinate,HMDB01488,C00253,938.0,,,EX_nac_m,EX_nac(e)
47,nh4,0.461166670114568,Ammonium,HMDB00051,C00014,223.0,InChI=1S/H3N/h1H3/p+1,,EX_nh4_m,EX_nh4(e)
48,nmn,0.11055843568925178,NMN,HMDB00229,C00455,14180.0,,,EX_nmn_m,EX_nmn(e)
49,o2,0.35442509635424946,O2,HMDB01377,C00007,977.0,InChI=1S/O2/c1-2,,EX_o2_m,EX_o2(e)
50,orn,0.12252036828843066,Ornithine,HMDB00214,C00077,6262.0,"InChI=1S/C5H12N2O2/c6-3-1-2-4(7)5(8)9/h4H,1-3,6-7H2,(H,8,9)/p+1",,EX_orn_m,EX_orn(e)
51,pi,0.3533384601797203,hydrogenphosphate,HMDB00973,C00009,1004.0,"InChI=1S/H3O4P/c1-5(2,3)4/h(H3,1,2,3,4)/p-2",,EX_pi_m,EX_pi(e)
52,pnto_R,0.07366599711337606,(R)-Pantothenate,HMDB00210,C00864,988.0,"InChI=1S/C9H17NO5/c1-9(2,5-11)7(14)8(15)10-4-3-6(12)13/h7,11,14H,3-5H2,1-2H3,(H,10,15)(H,12,13)/p-1",,EX_pnto_R_m,EX_pnto_R(e)
53,pro_L,0.35055703506908054,L-proline,HMDB00162,C00148,145742.0,"InChI=1S/C5H9NO2/c7-5(8)4-2-1-3-6-4/h4,6H,1-3H2,(H,7,8)/t4-/m0/s1",,EX_pro_L_m,EX_pro_L(e)
54,ptrc,0.022111687137850358,Putrescine,HMDB01414,C00134,1045.0,InChI=1S/C4H12N2/c5-3-1-2-4-6/h1-6H2/p+2,,EX_ptrc_m,EX_ptrc(e)
55,pydx,0.03254950218428879,Pyridoxal,HMDB01545,C00250,1050.0,"InChI=1S/C8H9NO3/c1-5-8(12)7(4-11)6(3-10)2-9-5/h2,4,10,12H,3H2,1H3",,EX_pydx_m,EX_pydx(e)
56,ribflv,0.036587683753278366,Riboflavin,HMDB00244,C00255,493570.0,,,EX_ribflv_m,EX_ribflv(e)
57,ser_L,0.3462051599156431,L-serine,HMDB00187,C00065,5951.0,"InChI=1S/C3H7NO3/c4-2(1-5)3(6)7/h2,5H,1,4H2,(H,6,7)/t2-/m0/s1",,EX_ser_L_m,EX_ser_L(e)
58,so4,0.022111687137850358,sulfate,HMDB01448,C00059,1118.0,"InChI=1S/H2O4S/c1-5(2,3)4/h(H2,1,2,3,4)/p-2",,EX_so4_m,EX_so4(e)
59,spmd,0.022111687137850358,Spermidine,HMDB01257,C00315,1102.0,"InChI=1S/C7H19N3/c8-4-1-2-6-10-7-3-5-9/h10H,1-9H2/p+3",,EX_spmd_m,EX_spmd(e)
60,succ,0.4001747240508799,Succinate,HMDB00254,C00042,1110.0,"InChI=1S/C4H6O4/c5-3(6)1-2-4(7)8/h1-2H2,(H,5,6)(H,7,8)/p-2",,EX_succ_m,EX_succ(e)
61,thymd,0.022111687137850358,Thymidine,HMDB00273,C00214,5789.0,"InChI=1S/C10H14N2O5/c1-5-3-12(10(16)11-9(5)15)8-2-6(14)7(4-13)17-8/h3,6-8,13-14H,2,4H2,1H3,(H,11,15,16)/t6-,7+,8+/m0/s1",,EX_thymd_m,EX_thymd(e)
62,trp_L,0.002672408771026405,L-tryptophan,HMDB00929,C00078,6305.0,"InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)/t9-/m0/s1",,EX_trp_L_m,EX_trp_L(e)
63,ura,0.022111687137850358,uracil,HMDB00300,C00106,1174.0,"InChI=1S/C4H4N2O2/c7-3-1-2-5-4(8)6-3/h1-2H,(H2,5,6,7,8)",,EX_ura_m,EX_ura(e)
64,urea,0.7263319749866783,Urea,HMDB00294,C00086,1176.0,"InChI=1S/CH4N2O/c2-1(3)4/h(H4,2,3,4)",,EX_urea_m,EX_urea(e)
65,val_L,0.005767288303504384,L-valine,HMDB00883,C00183,6287.0,"InChI=1S/C5H11NO2/c1-3(2)4(6)5(7)8/h3-4H,6H2,1-2H3,(H,7,8)/t4-/m0/s1",,EX_val_L_m,EX_val_L(e)
66,xan,0.022111687137850358,Xanthine,HMDB00292,C00385,1188.0,"InChI=1S/C5H4N4O2/c10-4-2-3(7-1-6-2)8-5(11)9-4/h1H,(H3,6,7,8,9,10,11)",,EX_xan_m,EX_xan(e)
67,zn2,0.19143299553488471,Zinc,,,,,,EX_zn2_m,EX_zn2(e)
68,acgam,0.022111687137850358,N-acetyl-D-glucosamine,HMDB00215,C00140,439174.0,"InChI=1S/C8H15NO6/c1-4(12)9-5(2-10)7(14)8(15)6(13)3-11/h2,5-8,11,13-15H,3H2,1H3,(H,9,12)/t5-,6+,7+,8+/m0/s1",,EX_acgam_m,EX_acgam(e)
69,ddca,0.0057558373822443765,laurate,HMDB00638,C02679,3893.0,"InChI=1S/C12H24O2/c1-2-3-4-5-6-7-8-9-10-11-12(13)14/h2-11H2,1H3,(H,13,14)/p-1",,EX_ddca_m,EX_ddca(e)
70,fol,0.046490211514001345,Folate,HMDB00121,C00504,6037.0,,,EX_fol_m,EX_fol(e)
71,fum,0.484652239145707,Fumarate,HMDB00134,C00122,444972.0,"InChI=1S/C4H4O4/c5-3(6)1-2-4(7)8/h1-2H,(H,5,6)(H,7,8)/p-2/b2-1+",,EX_fum_m,EX_fum(e)
72,galt,0.012774499143098618,galactitol,HMDB00107,C01697,11850.0,"InChI=1S/C6H14O6/c7-1-3(9)5(11)6(12)4(10)2-8/h3-12H,1-2H2/t3-,4+,5+,6-",,EX_galt_m,EX_galt(e)
73,gam,0.04057151461435685,D-Glucosamine,HMDB01514,C00329,439213.0,,,EX_gam_m,EX_gam(e)
74,glc_D,0.0843275156803175,D-glucose,HMDB00122,C00031,5793.0,,,EX_glc_D_m,EX_glc_D(e)
75,hdca,0.0053293215723457694,Hexadecanoate (n-C16:0),HMDB00220,C00249,985.0,"InChI=1S/C16H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16(17)18/h2-15H2,1H3,(H,17,18)/p-1",,EX_hdca_m,EX_hdca(e)
76,lac_L,0.07596681264394259,(S)-lactate,HMDB00190,C00186,107689.0,"InChI=1S/C3H6O3/c1-2(4)3(5)6/h2,4H,1H3,(H,5,6)/p-1/t2-/m0/s1",,EX_lac_L_m,EX_lac_L(e)
77,mal_L,0.16017934986793228,(S)-malate(2-),HMDB00156,C00149,222656.0,"InChI=1S/C4H6O5/c5-2(4(8)9)1-3(6)7/h2,5H,1H2,(H,6,7)(H,8,9)/p-2/t2-/m0/s1",,EX_mal_L_m,EX_mal_L(e)
78,malt,0.06181729022069025,Maltose,HMDB00163,C00208,439186.0,,,EX_malt_m,EX_malt(e)
79,man,0.0321977672284311,D-Mannose,HMDB00169,C00159,18950.0,,,EX_man_m,EX_man(e)
80,mnl,0.4031423170256272,D-Mannitol,,,,,,EX_mnl_m,EX_mnl(e)
81,mqn7,0.022111687137850358,Menaquinone 7,,C00828,4086.0,,,EX_mqn7_m,EX_mqn7(e)
82,ocdca,0.06684060105714285,octadecanoate (n-C18:0),HMDB00827,C01530,3033836.0,"InChI=1S/C18H36O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h2-17H2,1H3,(H,19,20)/p-1",,EX_ocdca_m,EX_ocdca(e)
83,pheme,0.022111687137850358,Protoheme,HMDB03178,C00032,,,,EX_pheme_m,EX_pheme(e)
84,sbt_D,2.6874691773947754,D-glucitol,HMDB00247,C00794,5780.0,"InChI=1S/C6H14O6/c7-1-3(9)5(11)6(12)4(10)2-8/h3-12H,1-2H2/t3-,4+,5-,6-/m1/s1",,EX_sbt_D_m,EX_sbt_D(e)
85,sucr,0.01623933371049244,Sucrose,HMDB00258,C00089,5988.0,,,EX_sucr_m,EX_sucr(e)
86,tre,0.21221313952377074,Trehalose,HMDB00975,C01083,7427.0,,,EX_tre_m,EX_tre(e)
87,ttdca,0.004757686327074474,tetradecanoate (n-C14:0),HMDB00806,C06424,11005.0,"InChI=1S/C14H28O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14(15)16/h2-13H2,1H3,(H,15,16)/p-1",,EX_ttdca_m,EX_ttdca(e)
88,26dap_M,0.11055843568925178,"meso-2,6-Diaminoheptanedioate",,,,,,EX_26dap_M_m,EX_26dap_M(e)
89,4hbz,0.022111687137850358,4-hydroxybenzoate,HMDB00500,C00156,,"InChI=1S/C7H6O3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,8H,(H,9,10)/p-1",,EX_4hbz_m,EX_4hbz(e)
90,alagln,4.632730130686724e-05,L-alanyl-L-glutamine,,,,,,EX_alagln_m,EX_alagln(e)
91,alaglu,0.09029989311893138,L-alanyl-L-glutamate,,,,,,EX_alaglu_m,EX_alaglu(e)
92,alagly,0.009919369185101083,L-alanylglycine,,,,,,EX_alagly_m,EX_alagly(e)
93,alaleu,0.005092034095914144,L-alanyl-L-leucine,,,,,,EX_alaleu_m,EX_alaleu(e)
94,alathr,0.13006594015694078,L-alanyl-L-threonine,,,,,,EX_alathr_m,EX_alathr(e)
95,csn,0.26315614695228284,cytosine,HMDB00630,C00380,597.0,"InChI=1S/C4H5N3O/c5-3-1-2-6-4(8)7-3/h1-2H,(H3,5,6,7,8)",,EX_csn_m,EX_csn(e)
96,gal,16.722993647868677,D-Galactose,HMDB00143,C00984,439357.0,,,EX_gal_m,EX_gal(e)
97,glyasn,0.004652077856932336,Glycyl-L-asparagine,,,,,,EX_glyasn_m,EX_glyasn(e)
98,glyasp,0.20789440198394066,Glycyl-L-aspartate,,,,,,EX_glyasp_m,EX_glyasp(e)
99,glyc,0.20556314259670763,Glycerol,HMDB00131,C00116,753.0,"InChI=1S/C3H8O3/c4-1-3(6)2-5/h3-6H,1-2H2",,EX_glyc_m,EX_glyc(e)
100,glygln,0.008640614939219554,Glycyl-L-glutamine,,,,,,EX_glygln_m,EX_glygln(e)
101,glyglu,0.007003920018703908,Glycyl-L-glutamate,,,,,,EX_glyglu_m,EX_glyglu(e)
102,glyleu,0.22287398488879628,Glycylleucine,HMDB00759,C02155,92843.0,,,EX_glyleu_m,EX_glyleu(e)
103,glymet,0.0014471712277198145,Glycyl-L-methionine,,,,,,EX_glymet_m,EX_glymet(e)
104,glyphe,0.0004527810175217617,Glycylphenylalanine,,,97415.0,,,EX_glyphe_m,EX_glyphe(e)
105,glypro,0.00040762895238627135,Glycylproline,HMDB00721,,79101.0,,,EX_glypro_m,EX_glypro(e)
106,glytyr,0.0034804901139333347,Glycyl-L-tyrosine,,,,,,EX_glytyr_m,EX_glytyr(e)
107,gua,0.022111687137850358,Guanine,HMDB00132,C00242,764.0,"InChI=1S/C5H5N5O/c6-5-9-3-2(4(11)10-5)7-1-8-3/h1H,(H4,6,7,8,9,10,11)",,EX_gua_m,EX_gua(e)
108,lcts,0.1304299557256908,Lactose,HMDB00186,C00243,440995.0,,,EX_lcts_m,EX_lcts(e)
109,malthx,0.00954755791613019,Maltohexaose,HMDB12253,C01936,439606.0,,,EX_malthx_m,EX_malthx(e)
110,metala,0.0014471712277198145,L-methionyl-L-alanine,,,,"InChI=1S/C8H16N2O3S/c1-5(8(12)13)10-7(11)6(9)3-4-14-2/h5-6H,3-4,9H2,1-2H3,(H,10,11)(H,12,13)/t5-,6-/m0/s1",,EX_metala_m,EX_metala(e)
111,phe_L,0.03724355903359174,L-phenylalanine,HMDB00159,C00079,6140.0,"InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)/t8-/m0/s1",,EX_phe_L_m,EX_phe_L(e)
112,pydam,0.03254950218428908,Pyridoxamine,HMDB01431,C00534,1052.0,"InChI=1S/C8H12N2O2/c1-5-8(12)7(2-9)6(4-11)3-10-5/h3,11-12H,2,4,9H2,1H3/p+1",,EX_pydam_m,EX_pydam(e)
113,pydxn,0.03254950218428912,Pyridoxine,HMDB00239,C00314,1054.0,"InChI=1S/C8H11NO3/c1-5-8(12)7(4-11)6(3-10)2-9-5/h2,10-12H,3-4H2,1H3",,EX_pydxn_m,EX_pydxn(e)
114,q8,0.11055843568925178,Ubiquinone-8,,,,,,EX_q8_m,EX_q8(e)
115,rib_D,0.03346658634739013,D-ribose,HMDB00283,C00121,5779.0,,,EX_rib_D_m,EX_rib_D(e)
116,thm,0.03405353907641065,Thiamin,HMDB00235,C00378,1130.0,"InChI=1S/C12H17N4OS/c1-8-11(3-4-17)18-7-16(8)6-10-5-14-9(2)15-12(10)13/h5,7,17H,3-4,6H2,1-2H3,(H2,13,14,15)/q+1",,EX_thm_m,EX_thm(e)
117,thr_L,0.15312562326370105,L-threonine,HMDB00167,C00188,6288.0,"InChI=1S/C4H9NO3/c1-2(6)3(5)4(7)8/h2-3,6H,5H2,1H3,(H,7,8)/t2-,3+/m1/s1",,EX_thr_L_m,EX_thr_L(e)
118,tyr_L,0.033471358451968795,L-tyrosine,HMDB00158,C00082,6057.0,"InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)/t8-/m0/s1",,EX_tyr_L_m,EX_tyr_L(e)
119,12dgr180,0.11055843568925178,"1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)",,,,,,EX_12dgr180_m,EX_12dgr180(e)
120,ala_D,0.022111687137850358,D-alanine,HMDB01310,C00133,71080.0,"InChI=1S/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6)/t2-/m1/s1",,EX_ala_D_m,EX_ala_D(e)
121,arab_L,0.003953193761566299,L-arabinose,HMDB00646,C00259,,,,EX_arab_L_m,EX_arab_L(e)
122,dcyt,0.029975753822243236,Deoxycytidine,HMDB00014,C00881,13711.0,"InChI=1S/C9H13N3O4/c10-7-1-2-12(9(15)11-7)8-3-5(14)6(4-13)16-8/h1-2,5-6,8,13-14H,3-4H2,(H2,10,11,15)/t5-,6+,8+/m0/s1",,EX_dcyt_m,EX_dcyt(e)
123,drib,0.003953193761566299,2-deoxy-D-ribose,HMDB03224,C01801,22833604.0,"InChI=1S/C5H10O4/c6-2-1-4(8)5(9)3-7/h2,4-5,7-9H,1,3H2/t4-,5+/m0/s1",,EX_drib_m,EX_drib(e)
124,gcald,1.1551456361692611,glycolaldehyde,HMDB03344,C00266,756.0,"InChI=1S/C2H4O2/c3-1-2-4/h1,4H,2H2",,EX_gcald_m,EX_gcald(e)
125,glyc3p,0.06539794336598671,Glycerol 3-phosphate,HMDB00126,C00093,439162.0,"InChI=1S/C3H9O6P/c4-1-3(5)2-9-10(6,7)8/h3-5H,1-2H2,(H2,6,7,8)/p-2/t3-/m1/s1",,EX_glyc3p_m,EX_glyc3p(e)
126,no2,0.17946094295973347,Nitrite,HMDB02786,C00088,24529.0,"InChI=1S/HNO2/c2-1-3/h(H,2,3)/p-1",,EX_no2_m,EX_no2(e)
127,no3,0.3927725829695557,Nitrate,,,,,,EX_no3_m,EX_no3(e)
128,sheme,0.11055843568925178,Siroheme,,,,,,EX_sheme_m,EX_sheme(e)
129,2dmmq8,0.11055843568925178,2-Demethylmenaquinone 8,,,,,,EX_2dmmq8_m,EX_2dmmq8(e)
130,2obut,0.022111687137850358,2-Oxobutanoate,HMDB00005,C00109,58.0,"InChI=1S/C4H6O3/c1-2-3(5)4(6)7/h2H2,1H3,(H,6,7)/p-1",,EX_2obut_m,EX_2obut(e)
131,3mop,0.022111687137850358,3-methyl-2-oxopentanoate,HMDB00491,C03465,47.0,"InChI=1S/C6H10O3/c1-3-4(2)5(7)6(8)9/h4H,3H2,1-2H3,(H,8,9)/p-1",,EX_3mop_m,EX_3mop(e)
132,ade,0.022111687137850358,Adenine,HMDB00034,C00147,190.0,"InChI=1S/C5H5N5/c6-4-3-5(9-1-7-3)10-2-8-4/h1-2H,(H3,6,7,8,9,10)",,EX_ade_m,EX_ade(e)
133,akg,0.06780445037070068,2-Oxoglutarate,HMDB00208,C00026,51.0,"InChI=1S/C5H6O5/c6-3(5(9)10)1-2-4(7)8/h1-2H2,(H,7,8)(H,9,10)/p-2",,EX_akg_m,EX_akg(e)
134,cytd,0.45121154213014436,Cytidine,HMDB00089,C00475,6175.0,"InChI=1S/C9H13N3O5/c10-5-1-2-12(9(16)11-5)8-7(15)6(14)4(3-13)17-8/h1-2,4,6-8,13-15H,3H2,(H2,10,11,16)/t4-,6-,7-,8-/m1/s1",,EX_cytd_m,EX_cytd(e)
135,dad_2,0.022111687137850358,2-deoxyadenosine,HMDB00101,C00559,13730.0,"InChI=1S/C10H13N5O3/c11-9-8-10(13-3-12-9)15(4-14-8)7-1-5(17)6(2-16)18-7/h3-7,16-17H,1-2H2,(H2,11,12,13)/t5-,6+,7+/m0/s1",,EX_dad_2_m,EX_dad_2(e)
136,dgsn,0.022111687137850358,Deoxyguanosine,HMDB00085,C00330,187790.0,"InChI=1S/C10H13N5O4/c11-10-13-8-7(9(18)14-10)12-3-15(8)6-1-4(17)5(2-16)19-6/h3-6,16-17H,1-2H2,(H3,11,13,14,18)/t4-,5+,6+/m0/s1",,EX_dgsn_m,EX_dgsn(e)
137,ins,0.018172370197309867,Inosine,HMDB00195,C00294,6021.0,,,EX_ins_m,EX_ins(e)
138,mqn8,0.022111687137850358,Menaquinone 8,,C00828,4086.0,,,EX_mqn8_m,EX_mqn8(e)
139,uri,0.022111687137850358,Uridine,HMDB00296,C00299,6029.0,"InChI=1S/C9H12N2O6/c12-3-4-6(14)7(15)8(17-4)11-2-1-5(13)10-9(11)16/h1-2,4,6-8,12,14-15H,3H2,(H,10,13,16)/t4-,6-,7-,8-/m1/s1",,EX_uri_m,EX_uri(e)
140,glygn2,0.009087043750843238,"glycogen, structure 2 (glycogenin-1,6-{7[1,4-Glc], 4[1,4-Glc]})",,,,,,EX_glygn2_m,EX_glygn2(e)
141,glygn5,0.0881228076668081,"glycogen, structure 5 (glycogenin-2[1,4-Glc])",,,,,,EX_glygn5_m,EX_glygn5(e)
142,gthox,0.022111687137850358,Oxidized glutathione,HMDB03337,C00127,65359.0,,,EX_gthox_m,EX_gthox(e)
143,rmn,0.016471659099598752,L-Rhamnose,,,,,,EX_rmn_m,EX_rmn(e)
144,strch1,0.07066273650651748,"starch, structure 1 (1,6-{7[1,4-Glc], 4[1,4-Glc]})",,,,,,EX_strch1_m,EX_strch1(e)
145,xyl_D,0.06476505883508961,aldehydo-D-xylose,,,644160.0,"InChI=1S/C5H10O5/c6-1-3(8)5(10)4(9)2-7/h1,3-5,7-10H,2H2/t3-,4+,5+/m0/s1",,EX_xyl_D_m,EX_xyl_D(e)
146,4hphac,0.000266843840379556,4-hydroxyphenylacetate,HMDB00020,C00642,127.0,"InChI=1S/C8H8O3/c9-7-3-1-6(2-4-7)5-8(10)11/h1-4,9H,5H2,(H,10,11)/p-1",,EX_4hphac_m,EX_4hphac(e)
